	text	predicted_label	confidence	actual_label
439	Je k dispozici program 3x máchání s odstřeďováním.	0	0.992	1
440	Doufám že ani tentokrát nezklame.	1	0.981	0
441	A umývat ty záhyby? děkuji nechci.	0	0.987	1
442	Ale za ty prachy je dobrý.	0	0.989	1
443	Místo 7 gr 8.	0	0.997	1
444	Dětská pojistka proti zavření bubnu u vypnuté pračky.	1	0.990	0
445	Že není v bílém provedení.	0	0.992	1
446	Ale vše ukáže čas.	1	0.661	0
447	Horní plnění - otázka možná zvyku.	1	0.993	0
448	Výkyvná hlavice umožňuje se dostat pod nábytek atd.	1	0.993	0
449	V porovnání s předchozím kávovarem krups.	0	0.992	1
450	Standardni davky kavy jsou nadefinovane min.	0	0.996	1
451	Zatím používám vysavač krátkou dobu.	0	0.988	1
452	Kterou někteří uživatelé zmiňovali.	1	0.992	0
453	Abych měl dvě mísy a metly).	1	0.935	0
454	Vysavač je příliš těžký.	0	0.994	1
455	Stává se tak převážně po prvotní uvedení do provozu a při využívání super chlazení / mražení.	0	0.995	1
456	A doufejme už nikdy více (první typ trpěl jak poskakováním při odstředění při nemožnosti jeho bližším nastavení.	1	0.990	0
457	Nevýhodou jsou umělohmotné převody.	0	0.997	1
458	Pročištění vodou mi nevadí.	1	0.983	0
459	Přechod na provoz s hadicí chvilku trvá.	0	0.992	1
460	Konečně jsem našla ten pravý sekáček.	1	0.977	0
461	Chtěli jsme si udělat s manželem radost pod stromeček.	0	0.994	1
462	Programy je možné upravit na kratší dobu.	1	0.997	0
463	Madla pro otevírání lednice jsou nerez.	1	0.997	0
464	Na displayi se ukazuje čas.	1	0.996	0
465	Tak je doslova mokré a kape z něj.	0	0.915	1
466	Že při vysávání nečistoty zametáte před sebou aniž by se vysály.	0	0.983	1
467	Šuplík na zeleninu je krásně veliký.	1	0.996	0
468	Vše funguje a dobře.	0	0.999	1
469	Ze to pradlo neumi vyzehlit).	1	0.976	0
470	Kdž jsem prala jednotlivě jeden polštář.	0	0.987	1
471	I na stupeň 1 tzn.	0	0.996	1
472	Takže ráno udělám koktejlik.	1	0.993	0
473	Možná vhodná do velkých prostor kde zvuk kompresoru tolik neobtěžuje.	0	0.994	1
474	Že vysavač je tichý když je hlučná hubice při vysávání hlučnější.	0	0.997	1
475	Spis na bezny rychlouklid.	0	0.999	1
476	Člověk si může s přípravou kávy fakt hrát.	1	0.937	0
477	Takže nemusíte stále mixér kontrolovať.	1	0.885	0
478	Takže využívám hlavně metličky na bramborovou kaši a nastavec na mixování pro výrobu dětského pyré nebo koktejlů.	1	0.986	0
479	A i potom je aspoň teplá.	1	0.994	0
480	Děti lehce otlučou hračkami.	0	0.999	1
481	Chlupy na koberci od naseho psika zazivaji peklo s timhle vysavacem.	1	0.968	0
482	Neumí pouze našlehané mléko.	0	0.992	1
483	Který byl volně uložen a nikde se nedočtete jak ho máte do filtru dát.	0	0.962	1
484	Šuplík na ovoce a zeleninu se šoupe po dně.	0	0.997	1
485	Do dcery dostat nějaké ovoce byl problém.	1	0.995	0
486	Těžký do ruky-  oproti jiným.	0	0.989	1
487	Pěkně saje a nedělá kravál.	1	0.697	0
488	Málokdy je potřeba nechávat je doschnout.	1	0.991	0
489	Že je pak prádlo vlhčí.	1	0.991	0
490	A to jak u lednice.	1	0.976	0
491	Který se pod výtokové hrdlo vejde je 85 mm.	1	0.987	0
492	O žádné nevím jsem spokojena.	0	0.994	1
493	Držák na stěnu pro vysavač i hubice.	1	0.935	0
494	Pokud potřebujete s lednicí popojet dopředu.	1	0.994	0
495	Co se oproti automatům chtějí trochu podílet na    vytvoření dobré kávy.	1	0.995	0
496	Když jste zapomňeli ji vypnout.	1	0.981	0
497	Minimální počet až žádné 'drážky' pro vlastní uspořádání poliček.	0	0.994	1
498	Neshledala jsem nic s čím bych nebyla nadmíru spokojena.	1	0.991	0
499	Nijak se nezabezpečuje pootočením.	0	0.985	1
500	Zrnka se sypou shora.	1	0.993	0
501	Tak nepoznáte který z nich akorát dopral.	0	0.986	1
502	Po 10 dnech užívání zatím žádné.	0	0.995	1
503	Neměla bych nejmenší výhradu.	0	0.599	1
504	Veškerá špína ve vodě.	1	0.991	0
505	Malinko mě zarazila vnitřní šířka chladničky.	1	0.988	0
506	Špatná flexibilita polic v lednici.	0	0.999	1
507	Nepřejede svůj vlastní kabel.	0	0.859	1
508	Krásné modré světlo v šuplíku na zeleninu.	1	0.993	0
509	Žádné zbytečnosti na víc.	1	0.994	0
510	Zkuste to také :-).	1	0.974	0
511	Stejně tak pročistí jednotlivé trubičky.	1	0.988	0
512	Které jsou trochu dražší.	1	0.988	0
513	Málo stabilní posuvný stojánek na šálek.	0	0.996	1
514	Ale zatiaľ super :).	0	0.995	1
515	Kdyby jste vysavač používali v domácnosti.	1	0.981	0
516	Káva zůstane v konvici dlouho teplá.	1	0.977	0
517	Není mu co vytkvout.	0	0.997	1
518	Ostatní 2 šuplíky jsou děravé (mají v sobě zespodu poměrně velké otvory - několik cm).	0	0.969	1
519	Které se mírně při čištění prohýbají.	0	0.983	1
520	Pro bezpečnost proti povolení používám prodlužovačku s vypínačem.	0	0.997	1
521	Tak snad bude sloužit.	1	0.992	0
522	Nakonec jsme vrátili a koupili o pár tisíc dražší.	1	0.992	0
523	Existence této alternativy i pro český trh podruhé.	1	0.991	0
524	Tak jsem  proto koupila ještě tuto monoklimatickou  ledničku také  zanussi.	1	0.869	0
525	Pro domácnost s dětmi je velmi praktická elektronická pojistka.	1	0.980	0
526	Zvýšená spotřeba kávy a mléka.	0	0.998	1
527	Chromové trubky jsou super.	0	0.996	1
528	Jeden velký šuplík na zeleninu.	0	0.996	1
529	Bála jsem se větší nádoby ( 2 litry ).	1	0.995	0
530	Tak z tvrdší zeleniny (červená řepa.	1	0.937	0
531	Prisava vsude vzduch a tim se snizuje kvalita vysavani.	0	0.997	1
532	Sice vysavač váží více.	1	0.996	0
533	Kam se můj starý vysavač nedostal.	1	0.994	0
534	Zpracování některých detailů odpovídá nízké ceně.	0	0.996	1
535	To jsem ještě nezažil.	1	0.977	0
536	Řešení tlačítek okolo displeje.	0	0.989	1
537	Plný výkon jen do 10 min.	1	0.995	0
538	Vypnula jsem vždy dříve.	1	0.970	0
539	Hlášení o nedostatku vody.	1	0.942	0
540	Zatím po tak krátké době nejde víc hodnotit.	1	0.997	0
541	Nádoba na napěnění mléka.	1	0.982	0
542	Těžko se vyndává ruční vysavač.	0	0.618	1
543	Cena - ale ta odpovídá kvalitě.	1	0.992	0
544	Odpadní hadice dostatečně netěsní.	0	0.984	1
545	Zatím jen týdenní používání.	0	0.983	1
546	Ze slo o limitku.	1	0.986	0
547	Není moc hlasitý motor.	1	0.981	0
548	Pristroj to dela za vas.	1	0.995	0
549	Možnost si přesně navolit připravovaný nápoj.	1	0.992	0
550	Jak chybu odstranit - touto cestou ještě jednou děkujeme.	1	0.997	0
551	Při vyndání konvičky s kávou.	1	0.996	0
552	Na trubici je vysunovací kartáček na očištění nástavců a vysavače.	1	0.996	0
553	Které se snadno promáčknou (při stěhování nebo při opření se o víko).	0	0.990	1
554	Nejni cejtit když se spusti.	1	0.990	0
555	Začne vás navštěvovat podezřele mnoho lidí podezřele často.	0	0.970	1
556	Tmavě šedý přívodní kabel elektrické energie.	0	0.999	1
557	Mala vyska mista pro hrnek.	0	0.991	1
558	Nedořešený prostor nad břity který se zapěchuje zpracovávaným materiálem a snižuje efektivitu práce.	0	0.981	1
559	Špatně se reguluje malé ovladaní.	0	0.997	1
560	Jo a vysouvací poličky jsou supr nápad.	1	0.990	0
561	Žádná kolečka ani nic podobného.	0	0.992	1
562	Že kabel není navíjecí.	0	0.988	1
563	Držák lahví-zajistí stabilitu lahví.	1	0.520	0
564	Skutečně - přívodní šňůra není moc dlouhá.	0	0.997	1
565	Jsem ajťák a věřte mi.	0	0.989	1
566	Nabíjím a pak uvidím.	1	0.933	0
567	Že mrazící prostor je umístěn ve spodní části lednice.	1	0.997	0
568	Dokonce k tomu dodává i popis na výměnu.	0	0.858	1
569	Kolik ještě zbývá do konce pracího cyklu.	0	0.571	1
570	Rychlé vyřízení vrácení peněz.	1	0.983	0
571	Výkon je velmi slušný.	0	0.999	1
572	Díky zakřivení metel tekutina nestříká všude kolem.	1	0.994	0
573	Že jsem mohla koupit v nižší cenové sazbě stejnou kvalitu.	0	0.984	1
574	Mrazák se odmrazuje ručně.	0	0.991	1
575	Uvidíme po delší době.	1	0.762	0
576	Určitě ale mixuje potraviny lépe.	0	0.974	1
577	Tyčový mixér nestříká vodu z mísy.	1	0.993	0
578	Tím je míň člověk využije a stejně používá pak jen ty.	1	0.996	0
579	Bohužem černé gusto má červenou šňůru!.	0	0.990	1
580	Pri nizkem stupni sani ok a vysledek na pohled dobry.	0	0.998	1
581	Doufám že energetická třída odpovídá realitě.	1	0.985	0
582	Tenké stěny - využití prostoru.	1	0.991	0
583	Hůře se ze dna vyškrabává rozmixovaná směs.	0	0.998	1
584	Musela jsem se jít podívát jestli fakt pere.	1	0.997	0
585	Chod této kombinované chladničky/mrazničky úplně zaniká v běžném chodu domácnosti.	1	0.993	0
586	Výborné je samočistění trysek při zapnutí a vypnutí přístroje.	1	0.996	0
587	Což jsem tedy nečekala.	0	0.977	1
588	Vlezou se šálky do výšky 6 cm.	0	0.981	1
589	Ale ušlehá co mu dáte.	0	0.989	1
590	Kde je maximální hladina zpracovávaného produktu.	0	0.966	1
591	Na rychlý uklid staci.	0	0.993	1
592	Při zátoveň s vrtačkouodsávání omítky při vrtíní.	1	0.934	0
593	Pauza pro přidání prádla.	1	0.992	0
594	Při ždímáni pevně stoji.	1	0.996	0
595	Mohli by jste vedle pračky sedět a nic by jste nepostřehli.	1	0.997	0
596	Jinak super věc :).	1	0.973	0
597	Na praní bavlny naplníte pračku 8 kg prádla.	0	0.996	1
598	Vysavač není na drobné nečistoty.	0	0.979	1
599	Ale proto ani není určen.	0	0.996	1
600	Mám pračku krátkou dobu.	1	0.991	0
601	Možnost použít vyšších hrnečků český.	0	0.998	1
602	Seřízení teploty a pohotovostního režimu.	0	0.998	1
603	Teleskopická hadice je fajn.	0	0.869	1
604	Vice mista namisto prihlouplych dalsich dvirek.	1	0.989	0
605	Ale to nějak nevadí.	1	0.992	0
606	Přednost popisu v českém jazyce.	1	0.902	0
607	Když se ukončí praní nebo sušení a prádlo je stále uvnitř bubnu.	1	0.995	0
608	Kde mi ji ochotně převzali zpět a už mám i peníze na účtu.	0	0.982	1
609	Zvýšená spotřeba kávy a mléka.	0	0.998	1
610	Ochraňuj celou naši rodinu i naše elektrospotřebiče.	0	0.999	1
611	Zavesny drzak na stenu.	1	0.977	0
612	Vyšší váha než u mého předchozího výrobku.	0	0.996	1
613	Které je třeba použít.	0	0.871	1
614	Dobře se drží v ruce.	1	0.997	0
615	Malý objem na mixování.	0	0.996	1
616	Protože mají pákový mechanismus.	1	0.996	0
617	Nádobka na nečistoty i filtr se dají umýt.	1	0.581	0
618	Zvuková signalizace po doprání.	1	0.995	0
619	Bylo by to také dohladka.	1	0.986	0
620	Má se nabíjet max.	1	0.994	0
621	K opravě snad dojde dnes.	0	0.800	1
622	Že to ocení každý rodič bez výjimky.	1	0.984	0
623	Jeden celý box pro úschovu zeleniny.	0	0.992	1
624	Koberce stačí jen na polovinu výkonu.	1	0.996	0
625	Jedině výměna za druhé těsnění.	0	0.993	1
626	Syn /7 let/ nemá rád mléko.	1	0.962	0
627	Zatím mám krátce v provozu.	1	0.977	0
628	Inac je to snadne.	0	0.980	1
629	Následně ho vyrvu výš.	0	0.976	1
630	Nebo si to nastavite jak potrebujete.	1	0.843	0
631	Malé držadlo pro přenášení.	0	0.610	1
632	Takze neni videt kdyz je nabity.	0	0.979	1
633	Popisky na pračce v angličtině.	0	0.993	1
634	Ale nemám oproti komu srovnat.	0	0.533	1
635	Než jsem mohla v úklildu pokračovat.	0	0.974	1
636	Umyje se při přechodu do spánku i při zapínání - pořád se meje.	0	0.990	1
637	Spára nad dveřmi není stejná jak u závěsu tak na druhé straně.	0	0.977	1
638	Ale je poměrně hlučná.	1	0.983	0
639	Cena jedné kávy: 10 kč.	0	0.957	1
640	Příliš rychlá příprava kávy.	0	0.990	1
641	Jelikož si nehodlám zničit kuch.	0	0.974	1
642	Zatuchlinou a neidentifikovatelným zápachem.	0	0.997	1
643	Nelze srovnávat s českým turkem a ani rozpustnou kávou.	1	0.986	0
644	Zatím nemám žádné záporné zkušenosti.	0	0.991	1
645	Že si budem rozumět.	1	0.956	0
646	Drží potřebný rozsah teplot na nejnižším stupni nastavení.	1	0.996	0
647	Takže nemám s čím bych jí strovnal.	0	0.966	1
648	Vysavač dewalt dwv 901 l se ukázal býti výkonným savcem.	1	0.992	0
649	Nemám zatím plně odzkoušeno.	0	0.994	1
650	Že může být slyšet maximálně.	0	0.993	1
651	Tak jako u profi přístrojů.	0	0.989	1
652	Menší hloubka- pronesli jsme ji 60cm širokými dveřmi bez nutnosti oddělení  některých dílů.	1	0.986	0
653	Pokud vysavate s prazdnym sackem.	1	0.982	0
654	Jak to má správně fungovat.	0	0.982	1
655	Výfuk vzduchu nahoru - nevíří prach po místnosti.	1	0.977	0
656	Při vysávání velkých koberců méně hlučný.	1	0.995	0
657	Každé ráno si udělám nápoj a můžu jít do práce.	1	0.916	0
658	Nerezová nádoba na led.	1	0.995	0
659	Dvě nádoby z kvalitního plastu.	1	0.996	0
660	Přestože lednice byla zabalena dostatečně proti jakémukoliv pohybu.	0	0.995	1
661	Který má opravdu pěkný design v barvě šedobílé.	0	0.998	1
662	Že bude funkční déle než její předchůdkyně ( 15 měsíců a čeká na opravu ložisek ).	0	0.989	1
663	Šnek se otáčí střídavě oběma směry.	1	0.893	0
664	Jen je levnějsí koupit sáčky plátěné do vysavačů rowenta.	1	0.993	0
665	Ukazatel výšky hladiny vody resp počtu káv je uvnitř.	0	0.994	1
666	Hlučnější než jsem předpokládala.	0	0.978	1
667	Toto jsme vyřešili koupí širších a nižších hrnků a nyní je vše bez problémů.	0	0.986	1
668	Tak už ani na tu kávu nemáte chuť.	0	0.996	1
669	Je možné ho postavit i bez stojánku.	1	0.990	0
670	Hlučnost při praní nízká.	1	0.995	0
671	Lock systém na sací.	0	0.997	1
672	Sací výkon (možná až moc velký- ale lze nastavovat ).	1	0.960	0
673	Lehce se 'hobluje' plastová část co roztáčí nože.	0	0.994	1
674	Stejně jako koberec s nízkým vlasem.	1	0.936	0
675	Že je jen s jednou lahví.	0	0.961	1
676	Uvydime jak dlouho vydrzi.	0	0.996	1
677	Uspořádání šuplíků tudíž  pouze dostatečné.	0	0.994	1
678	Nechat prádlo bez odstředění nebo přidat máchání.	1	0.949	0
679	Mám ho chvilku ale zatím žádné proti.	1	0.975	0
680	Zejmena ve srovnani s vyrobky philips.	0	0.991	1
681	Teď jsem se dívala do mrazáku a už by asi bylo potřeba odmrazit.	1	0.995	0
682	Ale ten se skvěle čistí.	0	0.912	1
683	Ždímá i při max otáčkách celkem tiše.	1	0.993	0
684	I při nastavení na co nejmenší chlazení byly potraviny v lednici hodně ledové.	0	0.958	1
685	Další nástavce v těle vysavače.	1	0.995	0
686	Braun dělá nejlepší ponoráky.	1	0.957	0
687	Určené pro vysavače) a neznalý člověk si objedná nové čerpadlo (dost složité a drahé).	0	0.970	1
688	Na to jak je velká.	0	0.998	1
689	Hlučnější než naše stará liebherr.	0	0.882	1
690	Přesto tento výrobek doporučuji.	0	0.714	1
691	Ale to jsou snad všechny plnoautomaty.	0	0.972	1
692	Malý výběr barev u sady se 3 láhvemi.	0	0.998	1
693	Malý rozsah ovládání síly sání.	0	0.999	1
694	Což zrovna v létě není úplně žádoucí.	0	0.856	1
695	Dvířka mrazáku při otevírání zajedou do prostoru nad mrazák.	1	0.987	0
696	Že se všech lednic nejlepší kompromis.	1	0.995	0
697	Pak už spolehlivě drží + - nastavenou teplotu.	0	0.889	1
698	Trubka také není moc dlouhá.	0	0.988	1
699	S oběma jsme celá rodina spokojeni.	0	0.999	1
700	Mléko je méně napěněné.	0	0.997	1
701	Má dvě velké nádoby.	0	0.999	1
702	Obtizne se shaneji hubice na vysavani kobercu.	1	0.990	0
703	Ale lednice je krásně tichá.	1	0.965	0
704	Výrazné - láká děti.	0	0.939	1
705	Kde je nouze o místo.	1	0.997	0
706	Několik různých pohybů bubnu pro lepší praní prádla.	1	0.995	0
707	Který běžný vysavač zanese.	1	0.984	0
708	Ale díky bohu za ní.	1	0.962	0
709	Dávkování vody také - tj.	1	0.959	0
710	Opravdu malá spotřeba energie (alespoň papírově).	1	0.996	0
711	Takže pak nejsou ani po ruce.	0	0.965	1
712	Osy jsem si vyrobil ocelové.	0	0.985	1
713	Pokud se rozhodujete jestli si koupíte variantu 'bez nádoby na mléko'.	1	0.985	0
714	Jak ta předchozí od stejné značky.	1	0.597	0
715	Prisava se k podlaze i pri nizsim vykonu vysavani.	0	0.997	1
716	Tak nová by mohla alespoň polovinu.	1	0.996	0
717	Máme zatím cca 1 týden a bez problémů.	0	0.997	1
718	Prací buben je jiný -lepší než měla stará pračka.	1	0.988	0
719	Cz není nikde podrobnější popis.	0	0.725	1
720	Ale s tím jsem ji kupoval.	0	0.689	1
721	Jako u staré lednice ta plastová.	1	0.997	0
722	Rychle namrzá (i při nastavení nízké hodnoty).	0	0.998	1
723	Protože jsem se spletl v katalogovém čísle.	1	0.973	0
724	Jedno tlacitko pro tvorbu peny.	0	0.997	1
725	Řešení madla pro přenášení.	0	0.999	1
726	Máte pocit že při tak nízké hlučnosti nemůže mít žádný sací výkon.	1	0.996	0
727	Nový vysavač clatronic má proti němu podstatně nižší hlučnost.	1	0.996	0
728	Hned po tom jak si v zacatku odvazi pradlo.	1	0.991	0
729	Aby netekla znečištěná voda od kávy.	0	0.694	1
730	Ale nemám srovnání sjinými produkty.	0	0.953	1
731	Přístroj připraví přibližně 1 dcl kávy.	1	0.994	0
732	Držák filtru pěkně zpracován.	1	0.997	0
733	Ze tam neni tlacitko.	0	0.909	1
734	Zpočátku jsem se chodili dívat jestli vůbec funguje ;).	1	0.994	0
735	Skládá se ze dvou dílů a složená má 80cm.	0	0.908	1
736	Že pračka hodně vypere.	1	0.994	0
737	Nerez držák na láhve.	1	0.994	0
738	Lednice je přes stejnou šířku jako dříve uvnitř menší.	0	0.896	1
739	Lednička nemůže být uplně panty u zdi.	1	0.997	0
740	Chlazení bočními stěnami lednice=vydává poměrně velké teplo do okolí.	0	0.999	1
741	Větší nádoba na prach a delší doba provozu po nabíjení.	1	0.996	0
742	Zapnutí příslušenství napojeného na vasavač.	1	0.991	0
743	Ale už byly použité daleko méně kvalitní materiály.	0	0.989	1
744	Která by byla tak velká.	1	0.777	0
745	Ruční šlehání mléčné pěny tryskou.	0	0.997	1
746	Na domácí použití však bohatě vystačí.	0	0.992	1
747	Nevím co měl předtím za hadici.	1	0.996	0
748	Dlouhá hadice na vysávání úzkých prostor.	1	0.968	0
749	Svůj kabel přejede jak nic.	1	0.994	0
750	Vymývání nádobek jde hůř.	0	0.990	1
751	Ještě není dostatečně odzkoušen.	1	0.956	0
752	Ale braun jednoznačně vyrží nejvíc.	1	0.995	0
753	Očekávala jsem že bude samonavíjecí přívodní kabel.	0	0.993	1
754	Hůře se s ním pracuje (používám na sedačku).	0	0.987	1
755	Mám ho hlavně na auto.	1	0.991	0
756	Ale koberce lze vysavat horko tezko jen na nejnizsi mozny.	0	0.852	1
757	Teď vše v pořádku.	0	0.993	1
758	Jaký jsem kdy viděl.	0	0.976	1
759	Některé programy jsou dlouhé jako týden před výplatou.	0	0.993	1
760	Ale eta na to jdou dobře.	0	0.979	1
761	Nikde se nic neviklá.	1	0.978	0
762	Potrebuje vetsi prostor po stranach lednice.	0	0.993	1
763	Kolik pusti mleka a kavy pro latte.	0	0.991	1
764	Za takovy vyrobek moc dekuji.	1	0.993	0
765	Pro velký úklid se nehodí.	0	0.874	1
766	Pokud je stále připojen k nabíjení.	1	0.977	0
767	Použité plastové díly jsou s nízkou kvalitu ve srovnání s dražší pračky indesit.	0	0.672	1
768	Tak si s tim silne cerpadlo poradi a neco vytlaci.	1	0.981	0
769	Menší úložný prostor než předchozí mraznička.	0	0.999	1
770	Objednal jsem černou variantu.	0	0.993	1
771	Otvor v prvním krytu odstředivky.	0	0.987	1
772	Ale ničemu to nevadí.	1	0.994	0
773	Zacvakávací nástavce - nespadnou.	1	0.997	0
774	Chtěla jsem vyrobit trochu bazalkoveho pesta.	0	0.873	1
775	Ale i tak splňuje svůj účel.	0	0.995	1
776	Bohužel u těchto typů vysavačů není.	0	0.823	1
777	Jen škoda že není jak tam přidělat držák na láhve.	0	0.989	1
778	A i tehdy musí člověk z vedlejší místnosti napínat uši).	1	0.997	0
779	Protože povrch má něco jako 'kartáčovanou' úpravu.	1	0.997	0
780	Informaci jsem věděl předem.	0	0.814	1
781	Pokud mixujete ovoce a zeleninu.	1	0.934	0
782	Ale myslím že cena v poměru ke kvalitě je velmi dobrá.	1	0.887	0
783	Prádlo protřepat a zapnout vypouštění a ždímání.	0	0.993	1
784	Trochu víc informací o mletí kávy - jak hrubé.	1	0.997	0
785	Nápadité umístění nádoby na vodu.	1	0.995	0
786	Při vysávání koberců se zvedá i koberec.	0	0.998	1
787	Manipulace při čistění po vysávání.	0	0.996	1
788	Lze vyřešit desítkou na drobné pradlo.	0	0.997	1
789	Hubice na koberce se přicucávají ke koberci.	0	0.990	1
790	Který jste zvolili- horní či dolní.	0	0.905	1
791	Spodní box na zeleninu je s pojezdem.	1	0.991	0
792	Užívám jej teprve týden.	0	0.989	1
793	Velká spotřeba kávy a mléka.	0	0.999	1
794	Jak všem ale říkám: 'radši mít pěknou lednici na kterou je radost pohledět.	1	0.992	0
795	Velký odkapávací tácek - není potřeba každý den vylévat.	1	0.987	0
796	Doporučuji - jsem nadšená z rychlosti.	1	0.994	0
797	Komunikace s obchodem bez problému.	1	0.956	0
798	Je dost velký a těžký.	0	0.993	1
799	A po roce používání jsem max.	1	0.994	0
800	Jinak jsem s ním náramně spokojen.	0	0.825	1
801	Velmi špatné ovládání savosti podlahy - koberce.	0	0.501	1
802	Veškeré instrukce se zobrazují na displeji.	1	0.691	0
803	Kapacitu paračky 8 kg prádla.	0	0.999	1
804	Ten je jednoznačně příšerný a absolutně nejhorší co jsem měl možnost vidět.	0	0.993	1
805	Je mi jasný jen na odpad kávy.	0	0.976	1
806	Že je to již několikátá generace jejích mixérů.	1	0.631	0
807	Aby z něj šly vlasy lehce vytáhnout.	0	0.579	1
808	Nebo málo vody (pokud není vůbec upozorní bez problému).	0	0.511	1
809	Ale vykompenzuje to kvalitně vyprané prádlo.	0	0.988	1
810	Ale při 1000 otáčkách akorát i na bavlnu.	1	0.993	0
811	Při tepovani vysava vodu ze sedaček daleko lépe než tepovac bosch za 20000.	1	0.875	0
812	Ty jsou však chutově velmi průměrné.	0	0.997	1
813	Kde jsem myslel že bude hlučnější.	1	0.943	0
814	Variabilita mrazíciho boxu ( možná změna jednoho mrazicího boxu na chladničku ).	1	0.976	0
815	Uzavíratelné sáčky - při výměně se nic nevysype.	1	0.985	0
816	Prací fáze jsou bez vůně.	0	0.615	1
817	Že tato pračka je k prádlu šetrnější.	1	0.990	0
818	Kde balík 150 filtrů se dá koupit za 30 kč.	1	0.953	0
819	Že s tepelným čerpadlem bude nižší spotřeba vody a elektřiny.	1	0.997	0
820	Nemám co bych vytkla.	0	0.991	1
821	Při plné náplni tj.	0	0.992	1
822	Těžší přepínání druhu podlahy u univerzální hubice.	0	0.594	1
823	Nevim je to dárek.	1	0.989	0
824	Ale stará dobrá jednoduchá tradice v moderním provedení.	1	0.992	0
825	Zadny prach při  čištění vysavače.	1	0.973	0
826	Malý ždímací koš (vypere víc než vyždímá-leda ždímat postupně).	0	0.991	1
827	Mám 2 malé děti.	1	0.988	0
828	Někomu může chybět předpírka.	0	0.991	1
829	Ikdyž je občas trochu problém s uložením vyšších nádob.	1	0.997	0
830	Zajímavým zkosením se leskne.	1	0.996	0
831	Můžete ho mít v práci - je kompaktní a moc neváží.	1	0.994	0
832	Vydava desive zvuky pri odstredovani az si clovek rika jestli nehodla explodovat.	1	0.996	0
833	Je znát teplotně každá změna nastavení.	1	0.996	0
834	Lze vždy aktuálně vypnout na displeji.	0	0.997	1
835	Ostatní se uvidí později za provozu.	1	0.991	0
836	Koupí rozhodně nic nezkazíte.	1	0.996	0
837	Mame pracku krátce (5.	1	0.988	0
838	Kteří si chtějí objednat novou chladničku.	0	0.988	1
839	Z kávovaru vytékala horká černá brynda totálně bez pěny.	0	0.998	1
840	Voda cáká i mimo odkapávací mísu.	0	0.985	1
841	Následuje 3minutové čištění filtru.	0	0.996	1
842	Máme ji ale velice krátkou dobu.	1	0.982	0
843	Ale to není nic nečekaného.	0	0.987	1
844	Je vcelku tichá jen otevírání dveří jde trochu ztuha.	1	0.996	0
845	Dobře udělaný držák luxu - jde be zpotíží postavit na linku i přichytit na zeď.	1	0.995	0
846	Kam si  zákazník musí zajet a zajistit sám.	0	0.985	1
847	Ale i tak tižší než u předchozí pračky.	0	0.992	1
848	Zatim jej mam kratce.	1	0.939	0
849	Nevýhoda při mixování polévek.	0	0.998	1
850	Nemusím nic hlídat a kontrolovat.	1	0.989	0
851	Zvyká si na prostredie.	1	0.997	0
852	Takze dal se uvidi.	1	0.980	0
853	Co nam odešel do křemíkového nebe jeho předchůdce (vítěz d-testu).	1	0.959	0
854	Indukcny ohrev na soup.	1	0.992	0
855	Kapsle jsou popsané jak dávkovat.	1	0.829	0
856	Ničím negativním mě nepřekvapila.	1	0.995	0
857	Nevytopím sousedy bydlící pode mnou.	1	0.714	0
858	Sama si zváží prádlo a určí čas.	0	0.999	1
859	Pomůže vám využít správně všechny programy.	1	0.986	0
860	Namletí ořechů nutné po troškách a namele je velmi jemně.	0	0.997	1
861	Černé gumové nožičky - zanechávají fleky na kuchyňské lince.	0	0.997	1
862	Jde otočit otevírání dveří.	1	0.994	0
863	No skor sa cení jeho prítomnosť ako taká :-).	0	0.998	1
864	Dala jsem do šlehače 5 bílků metly je nevyšlehaly.	0	0.984	1
865	Nad nasávacím otvorem je klapka.	1	0.996	0
866	Pouze při praní na program bavlna 40 až 60°c (proč???).	1	0.996	0
867	Ale také třeba caro.	1	0.990	0
868	Nízká hlučnost (bereme-li v potaz výkon mixéru).	1	0.991	0
869	Tenké koberce mi to nadzvedává.	0	0.983	1
870	Tento novější typ ma jinou páku a není presso  tak krémové.	0	0.867	1
871	Bhem pár minut připraveno.	1	0.994	0
872	Při výkonu motoru pochopitelně trochu hlučnější.	1	0.996	0
873	Opak je ale pravdou.	1	0.994	0
874	Stírání pevných podlah absolutně čistou vodou (proti kbelíku s mopem).	1	0.991	0
875	Nerozmixuje tvrdou zeleninu např: mrkev.	0	0.996	1
876	Málo úložného prostoru pro vajíčka.	0	0.975	1
877	Není úplně bez vibrací (žďímání).	0	0.998	1
878	To by člověk neřekl.	1	0.995	0
879	Dělá jedinečně to co má dělat a to výborné kafe a navíc vypadá nádherně.	1	0.995	0
880	Využívám to krátkou dobu.	1	0.994	0
881	A to 50 cm.	1	0.966	0
882	Přidat 1 máchací cyklus.	0	0.966	1
883	Že skoro nemám sílu otevřít.	0	0.975	1
884	Výhodou je pohon kartáče samostatným motorem.	1	0.996	0
885	Nevím jak jsem mohl pracovat bez něj.	1	0.993	0
886	Krátká trubička na šlehání mléka.	0	0.997	1
887	Při práci dochází k vibracím.	0	0.717	1
888	Chci s ním vyčistit sedačku.	1	0.997	0
889	Jeste ho postavim nahoru kde ho odspodu ohriva bojler.	1	0.995	0
890	Mám předchozí model a tohle je opravdu děs.	0	0.989	1
891	Vešla se do výklenku.	1	0.995	0
892	Opadané bláto a prach z něj vysaje na jedno přejetí.	1	0.961	0
